id,date,mood_avg,screen_avg,circumplex.valence_avg,circumplex.arousal_avg,activity_avg,appCat.social_avg,appCat.game_avg,appCat.entertainment_avg,target
AS14.23,2014-04-25,7.109999999999999,50.943224843362,0.8800000000000001,0.06,0.4181659013286859,39.456691666666664,49.07406666666667,68.26922952380951,7.8
AS14.23,2014-04-26,7.119999999999999,51.720761648604686,0.9199999999999999,-0.08,0.38471154602242885,46.82422619047619,44.402966666666664,60.27228666666665,7.5
AS14.23,2014-04-27,7.1800000000000015,51.13035354121648,0.9199999999999999,-0.1,0.38337991376084374,46.706676190476195,34.83525555555555,43.36383333333333,7.0
AS14.23,2014-04-28,7.340000000000001,47.20323263177198,1.04,-0.18,0.3779303525655092,50.158442857142866,23.220399999999998,52.6132119047619,7.6
AS14.25,2014-04-30,6.769999999999999,62.67492886449198,0.27,-0.19,0.09054411497593315,156.7837,135.29684583333332,585.1306999999999,6.2
AS14.25,2014-05-01,6.760000000000001,67.47989269732531,0.24000000000000005,0.020000000000000018,0.10120835134316257,171.39335357142858,139.74414861111114,362.07395,7.0
AS14.25,2014-05-02,6.76,65.81271652479529,0.12000000000000004,-0.27999999999999997,0.08442576079051854,132.5339773809524,143.57993333333337,217.70294999999996,6.5
AS14.25,2014-05-03,6.58,66.73142413995758,-0.039999999999999994,-0.43,0.10750854390320597,122.77426071428572,146.8042,152.01770000000002,6.4
AS14.25,2014-05-04,6.42,68.66227205266497,-0.12,-0.48,0.09509685700622494,145.4318357142857,115.27806666666667,165.01819999999998,7.2
AS14.25,2014-05-05,6.660000000000001,68.18155136380066,0.12,-0.059999999999999984,0.0992581340926588,132.9919732142857,267.3090666666667,121.84349047619048,6.666666666666667
AS14.25,2014-05-06,6.753333333333333,66.0381822251918,0.2,-0.42000000000000004,0.09188918990106913,115.31031964285714,273.8618888888889,133.162862987013,6.733333333333333
AS14.25,2014-05-07,6.7,68.00016544263687,0.12,-0.36,0.09071407453811954,155.72279583333335,293.19623333333334,137.52678419913417,6.8
AS14.25,2014-05-08,6.760000000000001,74.27887369594615,0.12,-0.2899999999999999,0.07721499468664321,191.7728125,329.844125,134.9860341991342,7.0
AS14.28,2014-04-06,7.13,54.758876862289114,0.43000000000000005,-0.275,0.09474088898443385,55.09949010196906,81.70536,63.69404431077695,7.2
AS14.28,2014-04-07,7.07,62.38253220230797,0.6000000000000001,-0.42000000000000004,0.07186950034059204,57.32664454641349,72.95251666666668,79.26734431077693,8.0
AS14.28,2014-04-08,7.31,61.493366400767094,0.78,-0.33999999999999997,0.0855597607146149,62.409637696078434,64.03225,72.03770859649124,7.8
AS14.28,2014-04-09,7.2700000000000005,61.24461384082554,0.74,-0.38,0.075107234391276,62.06593948179271,62.85315000000001,78.18082833333334,7.0
AS14.28,2014-04-10,7.5200000000000005,56.44022294798704,0.9400000000000001,-0.48,0.09889541935815291,54.5380659632742,44.23895,73.73730833333335,7.0
