id,date,mood_t-5,mood_t-4,mood_t-3,mood_t-2,mood_t-1,screen_t-5,screen_t-4,screen_t-3,screen_t-2,screen_t-1,circumplex.valence_t-5,circumplex.valence_t-4,circumplex.valence_t-3,circumplex.valence_t-2,circumplex.valence_t-1,target
AS14.13,2014-03-21,6.4,6.6,7.0,7.8,6.4,68.93105930797121,32.11036733461886,29.241638282512103,64.63483983371408,39.83333977217175,0.2,0.8,0.8,1.2,0.2,6.4
AS14.13,2014-03-22,6.6,7.0,7.8,6.4,6.4,32.11036733461886,29.241638282512103,64.63483983371408,39.83333977217175,78.76407745102763,0.8,0.8,1.2,0.2,0.6,8.4
AS14.13,2014-03-23,7.0,7.8,6.4,6.4,8.4,29.241638282512103,64.63483983371408,39.83333977217175,78.76407745102763,76.0997345668298,0.8,1.2,0.2,0.6,1.6,7.4
AS14.13,2014-03-24,7.8,6.4,6.4,8.4,7.4,64.63483983371408,39.83333977217175,78.76407745102763,76.0997345668298,62.16453333582194,1.2,0.2,0.6,1.6,1.0,8.8
AS14.13,2014-03-25,6.4,6.4,8.4,7.4,8.8,39.83333977217175,78.76407745102763,76.0997345668298,62.16453333582194,52.09096667236752,0.2,0.6,1.6,1.0,1.8,7.6
AS14.13,2014-03-26,6.4,8.4,7.4,8.8,7.6,78.76407745102763,76.0997345668298,62.16453333582194,52.09096667236752,48.8053203832756,0.6,1.6,1.0,1.8,1.8,8.4
AS14.13,2014-03-27,8.4,7.4,8.8,7.6,8.4,76.0997345668298,62.16453333582194,52.09096667236752,48.8053203832756,44.60850644957633,1.6,1.0,1.8,1.8,1.0,7.4
AS14.13,2014-03-28,7.4,8.8,7.6,8.4,7.4,62.16453333582194,52.09096667236752,48.8053203832756,44.60850644957633,49.83135840006635,1.0,1.8,1.8,1.0,1.0,7.6
AS14.13,2014-03-29,8.8,7.6,8.4,7.4,7.6,52.09096667236752,48.8053203832756,44.60850644957633,49.83135840006635,47.236187497526394,1.8,1.8,1.0,1.0,1.2,7.2
AS14.13,2014-03-30,7.6,8.4,7.4,7.6,7.2,48.8053203832756,44.60850644957633,49.83135840006635,47.236187497526394,60.407698938923495,1.8,1.0,1.0,1.2,1.0,6.2
AS14.13,2014-03-31,8.4,7.4,7.6,7.2,6.2,44.60850644957633,49.83135840006635,47.236187497526394,60.407698938923495,63.11214615014882,1.0,1.0,1.2,1.0,0.8,7.0
AS14.13,2014-04-01,7.4,7.6,7.2,6.2,7.0,49.83135840006635,47.236187497526394,60.407698938923495,63.11214615014882,38.42261970378983,1.0,1.2,1.0,0.8,0.6,7.5
AS14.13,2014-04-02,7.6,7.2,6.2,7.0,7.5,47.236187497526394,60.407698938923495,63.11214615014882,38.42261970378983,27.754822677651127,1.2,1.0,0.8,0.6,1.0,7.4
AS14.13,2014-04-03,7.2,6.2,7.0,7.5,7.4,60.407698938923495,63.11214615014882,38.42261970378983,27.754822677651127,41.231565009318125,1.0,0.8,0.6,1.0,1.0,7.6
AS14.13,2014-04-04,6.2,7.0,7.5,7.4,7.6,63.11214615014882,38.42261970378983,27.754822677651127,41.231565009318125,49.586733329863776,0.8,0.6,1.0,1.0,1.4,7.8
AS14.13,2014-04-05,7.0,7.5,7.4,7.6,7.8,38.42261970378983,27.754822677651127,41.231565009318125,49.586733329863776,43.35325002074241,0.6,1.0,1.0,1.4,1.0,6.8
AS14.13,2014-04-06,7.5,7.4,7.6,7.8,6.8,27.754822677651127,41.231565009318125,49.586733329863776,43.35325002074241,74.66963548045004,1.0,1.0,1.4,1.0,0.8,6.25
AS14.13,2014-04-07,7.4,7.6,7.8,6.8,6.25,41.231565009318125,49.586733329863776,43.35325002074241,74.66963548045004,48.01202082037924,1.0,1.4,1.0,0.8,0.75,7.4
AS14.13,2014-04-08,7.6,7.8,6.8,6.25,7.4,49.586733329863776,43.35325002074241,74.66963548045004,48.01202082037924,63.81368291862613,1.4,1.0,0.8,0.75,1.0,8.2
AS14.13,2014-04-09,7.8,6.8,6.25,7.4,8.2,43.35325002074241,74.66963548045004,48.01202082037924,63.81368291862613,51.93801064947817,1.0,0.8,0.75,1.0,1.4,7.8
AS14.13,2014-04-10,6.8,6.25,7.4,8.2,7.8,74.66963548045004,48.01202082037924,63.81368291862613,51.93801064947817,62.41660712900616,0.8,0.75,1.0,1.4,1.2,7.6
AS14.13,2014-04-11,6.25,7.4,8.2,7.8,7.6,48.01202082037924,63.81368291862613,51.93801064947817,62.41660712900616,60.49830314305824,0.75,1.0,1.4,1.2,1.0,6.8
AS14.13,2014-04-12,7.4,8.2,7.8,7.6,6.8,63.81368291862613,51.93801064947817,62.41660712900616,60.49830314305824,25.29557142257691,1.0,1.4,1.2,1.0,1.2,6.8
AS14.13,2014-04-13,8.2,7.8,7.6,6.8,6.8,51.93801064947817,62.41660712900616,60.49830314305824,25.29557142257691,54.357513766769955,1.4,1.2,1.0,1.2,1.0,6.6
AS14.13,2014-04-14,7.8,7.6,6.8,6.8,6.6,62.41660712900616,60.49830314305824,25.29557142257691,54.357513766769955,54.708953329722114,1.2,1.0,1.2,1.0,0.8,6.8
AS14.13,2014-04-15,7.6,6.8,6.8,6.6,6.8,60.49830314305824,25.29557142257691,54.357513766769955,54.708953329722114,30.698981363580838,1.0,1.2,1.0,0.8,1.0,6.0
AS14.13,2014-04-16,6.8,6.8,6.6,6.8,6.0,25.29557142257691,54.357513766769955,54.708953329722114,30.698981363580838,34.81590152268458,1.2,1.0,0.8,1.0,0.2,6.0
AS14.13,2014-04-17,6.8,6.6,6.8,6.0,6.0,54.357513766769955,54.708953329722114,30.698981363580838,34.81590152268458,31.632572156866807,1.0,0.8,1.0,0.2,0.75,6.4
AS14.13,2014-04-18,6.6,6.8,6.0,6.0,6.4,54.708953329722114,30.698981363580838,34.81590152268458,31.632572156866807,97.38847850086867,0.8,1.0,0.2,0.75,1.0,3.5
AS14.13,2014-04-19,6.8,6.0,6.0,6.4,3.5,30.698981363580838,34.81590152268458,31.632572156866807,97.38847850086867,26.786894748085423,1.0,0.2,0.75,1.0,-1.0,7.2
AS14.13,2014-04-20,6.0,6.0,6.4,3.5,7.2,34.81590152268458,31.632572156866807,97.38847850086867,26.786894748085423,61.534992544508675,0.2,0.75,1.0,-1.0,1.0,6.6
